epoch,t_rel,en0_opkts,en0_oerrs,en7_opkts,en7_oerrs
1788069238.352,33.370,16,0,2242,0
1788069238.592,33.609,16,0,2244,0
1788069238.832,33.850,16,0,2246,0
1788069239.058,34.076,16,0,2247,0
1788069239.296,34.314,17,0,2250,0
1788069239.534,34.551,17,0,2251,0
1788069239.767,34.784,18,0,2253,0
1788069239.999,35.017,18,0,2255,0
1788069240.235,35.252,18,0,2266,0
1788069240.470,35.488,18,0,2274,0
1788069240.696,35.714,18,0,2289,0
1788069240.925,35.943,18,0,2298,0
1788069241.158,36.175,18,0,2307,0
1788069241.391,36.409,20,0,2317,0
1788069241.619,36.637,28,0,2330,0
1788069241.848,36.866,28,0,2338,0
1788069242.087,37.105,28,0,2350,0
1788069242.318,37.335,28,0,2359,0
1788069242.550,37.568,28,0,2371,0
1788069242.792,37.809,28,0,2384,0
1788069243.020,38.038,29,0,2392,0
1788069243.252,38.270,29,0,2407,0
1788069243.492,38.509,29,0,2415,0
1788069243.717,38.735,29,0,2425,0
1788069243.944,38.962,29,0,2435,0
1788069244.179,39.196,29,0,2445,0
1788069244.412,39.430,29,0,2477,0
1788069244.648,39.665,29,0,2489,0
1788069244.884,39.901,29,0,2510,0
1788069245.164,40.182,29,0,2514,0
1788069245.399,40.417,29,0,2520,0
1788069245.669,40.686,29,0,2523,0
1788069245.912,40.930,29,0,2524,0
1788069246.153,41.171,29,0,2526,0
1788069246.400,41.418,29,0,2529,0
1788069246.660,41.678,29,0,2530,0
1788069246.901,41.919,29,0,2531,0
1788069247.139,42.157,29,0,2532,0
1788069247.367,42.385,29,0,2535,0
1788069247.623,42.640,29,0,2535,0
1788069247.865,42.883,29,0,2536,0
1788069248.099,43.117,29,0,2538,0
1788069248.347,43.365,30,0,2538,0
1788069248.594,43.612,30,0,2550,0
1788069248.836,43.854,30,0,2558,0
1788069249.086,44.104,30,0,2570,0
1788069249.320,44.338,30,0,2581,0
1788069249.670,44.687,30,0,2591,0
1788069249.909,44.926,30,0,2600,0
1788069250.142,45.160,30,0,2611,0
1788069250.386,45.404,30,0,2619,0
1788069250.618,45.636,30,0,2635,0
1788069250.852,45.870,30,0,2645,0
1788069251.093,46.111,30,0,2656,0
1788069251.333,46.351,30,0,2665,0
1788069251.573,46.591,30,0,2677,0
1788069251.803,46.821,30,0,2685,0
1788069252.036,47.054,30,0,2698,0
1788069252.285,47.303,30,0,2734,0
1788069252.518,47.536,30,0,2745,0
1788069252.752,47.770,30,0,2755,0
1788069252.991,48.009,30,0,2765,0
1788069253.228,48.246,33,0,2773,0
1788069253.467,48.484,39,0,2777,0
1788069253.807,48.825,42,0,2779,0
1788069254.037,49.055,45,0,3154,0
1788069254.264,49.282,45,0,3169,0
1788069254.535,49.552,46,0,3173,0
1788069254.763,49.781,46,0,3174,0
1788069254.995,50.013,46,0,3174,0
1788069255.226,50.244,46,0,3176,0
1788069255.456,50.474,47,0,3176,0
1788069255.689,50.707,47,0,3179,0
1788069255.963,50.981,47,0,3188,0
1788069256.197,51.214,47,0,3188,0
1788069256.431,51.448,47,0,3191,0
1788069256.656,51.673,47,0,3191,0
1788069256.879,51.897,47,0,3194,0
1788069257.105,52.123,47,0,3202,0
1788069257.334,52.352,47,0,3214,0
1788069257.563,52.581,47,0,3222,0
1788069257.795,52.812,47,0,3232,0
1788069258.023,53.041,47,0,3241,0
1788069258.252,53.270,47,0,3249,0
1788069258.486,53.504,48,0,3261,0
1788069258.718,53.736,52,0,3269,0
1788069258.948,53.966,52,0,3278,0
1788069259.184,54.201,52,0,3288,0
1788069259.423,54.441,52,0,3301,0
1788069259.679,54.696,52,0,3313,0
1788069259.917,54.935,52,0,3324,0
1788069260.148,55.166,52,0,3332,0
1788069260.374,55.392,52,0,3342,0
1788069260.630,55.648,52,0,3352,0
1788069260.864,55.882,58,0,3362,0
1788069261.171,56.189,58,0,3392,0
1788069261.400,56.418,58,0,3403,0
1788069261.634,56.652,58,0,3411,0
1788069261.864,56.882,58,0,3416,0
1788069262.096,57.113,58,0,3419,0
1788069262.326,57.344,58,0,3419,0
1788069262.557,57.575,58,0,3423,0
1788069262.788,57.805,58,0,3423,0
1788069263.014,58.031,58,0,3426,0
1788069263.249,58.266,58,0,3426,0
1788069263.478,58.496,58,0,3426,0
1788069263.708,58.726,58,0,3428,0
1788069263.941,58.959,58,0,3428,0
1788069264.167,59.185,58,0,3431,0
1788069264.399,59.417,58,0,3431,0
1788069264.630,59.647,58,0,3433,0
1788069264.859,59.877,58,0,3435,0
1788069265.100,60.117,58,0,3436,0
1788069265.335,60.353,58,0,3440,0
1788069265.567,60.585,58,0,3450,0
1788069265.798,60.816,58,0,3460,0
1788069266.033,61.051,58,0,3468,0
1788069266.265,61.283,58,0,3479,0
1788069266.493,61.511,58,0,3487,0
1788069266.725,61.742,58,0,3499,0
1788069266.956,61.973,58,0,3507,0
1788069267.183,62.201,58,0,3539,0
1788069267.416,62.434,59,0,3550,0
1788069267.649,62.667,59,0,3558,0
1788069267.882,62.900,59,0,3568,0
1788069268.120,63.138,59,0,3578,0
1788069268.350,63.367,59,0,3586,0
1788069268.581,63.599,59,0,3596,0
1788069268.816,63.834,59,0,3605,0
1788069269.045,64.063,59,0,3613,0
1788069269.275,64.292,59,0,3625,0
1788069269.504,64.522,59,0,3633,0
1788069269.733,64.750,60,0,3644,0
1788069269.966,64.984,60,0,3654,0
1788069270.193,65.210,60,0,3658,0
1788069270.426,65.444,60,0,3660,0
1788069270.659,65.676,60,0,3660,0
1788069270.891,65.909,60,0,3661,0
1788069271.118,66.136,60,0,3661,0
1788069271.348,66.366,60,0,3666,0
1788069271.577,66.595,60,0,3666,0
1788069271.808,66.826,60,0,3670,0
1788069272.035,67.052,60,0,3673,0
1788069272.265,67.283,60,0,3674,0
1788069272.491,67.509,60,0,3678,0
1788069272.720,67.737,60,0,3678,0
1788069272.950,67.968,60,0,3679,0
1788069273.182,68.200,60,0,3679,0
1788069273.407,68.425,60,0,3679,0
1788069273.640,68.657,60,0,3683,0
1788069273.866,68.883,60,0,3693,0
1788069274.094,69.111,60,0,3702,0
1788069274.324,69.342,60,0,3710,0
1788069274.553,69.571,60,0,3723,0
1788069274.783,69.800,60,0,3731,0
1788069275.011,70.029,60,0,3739,0
1788069275.239,70.256,60,0,3750,0
1788069275.465,70.483,60,0,3758,0
1788069275.693,70.711,60,0,3768,0
1788069275.924,70.942,60,0,3778,0
1788069276.153,71.171,60,0,3787,0
1788069276.383,71.401,60,0,3795,0
1788069276.615,71.633,60,0,3807,0
1788069276.844,71.862,60,0,3816,0
1788069277.075,72.093,60,0,3827,0
1788069277.309,72.327,60,0,3835,0
1788069277.543,72.560,60,0,3843,0
1788069277.776,72.794,60,0,3854,0
1788069278.008,73.026,60,0,3862,0
1788069278.234,73.251,60,0,3872,0
1788069278.467,73.485,60,0,3880,0
1788069278.697,73.715,60,0,3881,0
1788069278.928,73.946,60,0,3881,0
1788069279.153,74.171,60,0,3883,0
1788069279.383,74.401,60,0,3883,0
1788069279.614,74.632,60,0,3886,0
1788069279.850,74.867,60,0,3886,0
1788069280.083,75.101,60,0,3886,0
1788069280.316,75.334,60,0,3888,0
1788069280.549,75.567,60,0,3888,0
1788069280.777,75.795,60,0,3896,0
1788069281.007,76.024,60,0,3896,0
1788069281.236,76.253,60,0,3898,0
1788069281.465,76.482,60,0,3898,0
1788069281.692,76.709,60,0,3899,0
1788069281.916,76.934,60,0,3899,0
1788069282.144,77.162,60,0,3953,0
1788069282.374,77.392,61,0,3966,0
1788069282.604,77.622,65,0,3975,0
1788069282.834,77.852,65,0,3985,0
1788069283.067,78.085,65,0,3995,0
1788069283.300,78.318,65,0,4003,0
1788069283.532,78.550,65,0,4013,0
1788069283.760,78.778,66,0,4023,0
1788069283.992,79.009,66,0,4031,0
1788069284.219,79.237,66,0,4042,0
1788069284.448,79.466,66,0,4050,0
1788069284.675,79.693,66,0,4062,0
1788069284.906,79.924,66,0,4072,0
1788069285.132,80.150,66,0,4080,0
1788069285.356,80.373,66,0,4089,0
1788069285.582,80.600,66,0,4097,0
1788069285.810,80.828,66,0,4109,0
1788069286.042,81.060,66,0,4127,0
1788069286.276,81.293,66,0,4140,0
1788069286.507,81.525,66,0,4148,0
1788069286.736,81.754,66,0,4158,0
1788069286.965,81.983,66,0,4160,0
1788069287.194,82.212,66,0,4160,0
1788069287.425,82.442,66,0,4160,0
1788069287.653,82.671,67,0,4161,0
1788069287.882,82.900,67,0,4163,0
1788069288.109,83.127,67,0,4165,0
1788069288.342,83.360,67,0,4165,0
1788069288.573,83.591,67,0,4166,0
1788069288.805,83.822,67,0,4166,0
1788069289.033,84.051,67,0,4168,0
1788069289.261,84.279,67,0,4170,0
1788069289.490,84.508,67,0,4171,0
1788069289.721,84.739,67,0,4171,0
1788069289.949,84.967,67,0,4171,0
1788069290.180,85.197,68,0,4172,0
1788069290.403,85.421,68,0,4178,0
1788069290.633,85.650,68,0,4189,0
1788069290.855,85.872,68,0,4197,0
1788069291.086,86.104,68,0,4223,0
1788069291.320,86.337,68,0,4238,0
1788069291.549,86.566,68,0,4246,0
1788069291.779,86.797,68,0,4258,0
1788069292.009,87.027,68,0,4269,0
1788069292.244,87.261,68,0,4277,0
1788069292.471,87.488,68,0,4288,0
1788069292.698,87.716,68,0,4298,0
1788069292.924,87.942,69,0,4306,0
1788069293.152,88.170,69,0,4317,0
1788069293.388,88.406,69,0,4325,0
1788069293.616,88.634,69,0,4337,0
1788069293.843,88.861,69,0,4345,0
1788069294.075,89.093,69,0,4353,0
1788069294.303,89.320,69,0,4364,0
1788069294.533,89.551,69,0,4372,0
1788069294.765,89.783,69,0,4381,0
1788069294.991,90.008,69,0,4391,0
1788069295.220,90.238,69,0,4397,0
1788069295.449,90.467,69,0,4397,0
1788069295.677,90.695,69,0,4401,0
1788069295.909,90.926,69,0,4401,0
1788069296.140,91.157,69,0,4403,0
1788069296.364,91.382,69,0,4405,0
1788069296.594,91.612,69,0,4405,0
1788069296.824,91.842,69,0,4406,0
1788069297.053,92.071,69,0,4406,0
1788069297.284,92.302,70,0,4408,0
1788069297.511,92.529,70,0,4410,0
1788069297.742,92.760,70,0,4411,0
1788069297.971,92.988,70,0,4412,0
1788069298.200,93.218,70,0,4414,0
1788069298.433,93.451,70,0,4414,0
1788069298.660,93.677,70,0,4417,0
1788069298.889,93.907,70,0,4425,0
1788069299.116,94.134,70,0,4435,0
1788069299.343,94.361,70,0,4445,0
1788069299.576,94.594,70,0,4453,0
1788069299.809,94.827,70,0,4464,0
1788069300.048,95.066,70,0,4472,0
1788069300.277,95.295,70,0,4484,0
1788069300.509,95.527,70,0,4492,0
1788069300.740,95.758,70,0,4505,0
1788069300.966,95.984,70,0,4513,0
1788069301.198,96.216,70,0,4521,0
1788069301.428,96.446,70,0,4533,0
1788069301.658,96.675,70,0,4541,0
1788069301.886,96.904,70,0,4550,0
1788069302.116,97.133,70,0,4562,0
1788069302.344,97.361,70,0,4572,0
1788069302.575,97.593,70,0,4583,0
1788069302.804,97.821,70,0,4594,0
1788069303.031,98.049,70,0,4602,0
1788069303.256,98.274,70,0,4610,0
1788069303.491,98.509,70,0,4618,0
1788069303.714,98.731,70,0,4620,0
1788069303.942,98.960,70,0,4622,0
1788069304.171,99.189,70,0,4623,0
1788069304.400,99.418,70,0,4623,0
1788069304.627,99.645,70,0,4627,0
1788069304.862,99.880,70,0,4629,0
1788069305.091,100.108,70,0,4629,0
1788069305.316,100.334,70,0,4630,0
1788069305.551,100.568,70,0,4630,0
1788069305.783,100.801,70,0,4632,0
1788069306.017,101.035,70,0,4634,0
1788069306.250,101.268,70,0,4635,0
1788069306.481,101.498,70,0,4635,0
1788069306.707,101.725,74,0,4637,0
1788069306.937,101.955,74,0,4637,0
1788069307.165,102.183,74,0,4645,0
1788069307.394,102.412,74,0,4654,0
1788069307.624,102.642,74,0,4664,0
1788069307.854,102.872,74,0,4674,0
1788069308.083,103.101,74,0,4682,0
1788069308.312,103.330,74,0,4693,0
1788069308.539,103.557,74,0,4701,0
1788069308.764,103.781,74,0,4711,0
1788069308.993,104.011,74,0,4722,0
1788069309.221,104.239,74,0,4730,0
1788069309.449,104.466,74,0,4739,0
1788069309.680,104.698,74,0,4749,0
1788069309.908,104.925,74,0,4759,0
1788069310.136,105.153,74,0,4767,0
1788069310.365,105.383,74,0,4778,0
1788069310.592,105.610,74,0,4786,0
1788069310.825,105.843,74,0,4798,0
1788069311.054,106.072,74,0,4808,0
1788069311.284,106.301,74,0,4816,0
1788069311.517,106.535,74,0,4827,0
1788069311.749,106.767,75,0,4837,0
1788069311.975,106.993,76,0,4841,0
1788069312.206,107.224,76,0,4841,0
1788069312.435,107.453,76,0,4842,0
